factor id	average score	best score	worst score	avg+sigma	avg+2sigma	avg+3sigma	sequence count	sequences w/o score > average+sigma	sequences w/o scores > average+3sigma	worst site in the set	best site in the set	flank length	sites appearing on <flank length>	sites apperaring on 2bp flanks	% w/o sites	% sites in flanks	% sites in 2bp flanks	% weak sites	threshold	weak words in the 'ready' motif
BCD	-10.2271296048362	8.83703287396732	-21.8020495373666	-5.55754823273978	-0.887966860643365	3.78161451145305	48	5	20	-12.8468406335575	8.75160070961565	9	5	4	10.4166666666667	10.4166666666667	8.33333333333333	31.25	3.78	0
BRK	-8.04233112721812	9.55552627603732	-19.879253198304	-3.73565291055612	0.571025306105888	4.87770352276789	10	0	0	5.65000873477478	9.31117276731769				0.0	0.0	0.0	0.0	4.88	0
CAD	-8.7519616123124	9.05986820467886	-19.1232048694208	-4.6316388022032	-0.511315992094003	3.60900681801519	13	0	8	-4.51412257946572	9.05986820467886				0.0	0.0	0.0	61.5384615384615	3.61	0
DL	-13.8432908982559	11.2646169518357	-35.7590857909914	-7.80378989974305	-1.76428890123017	4.27521209728271	38	1	19	-9.06517088841431	10.4219567748801	10	1	1	2.63157894736842	2.63157894736842	2.63157894736842	47.3684210526316	4.28	0
GRH	-5.76389120394168	7.46661948097207	-17.5777966186898	-2.18161273096503	1.40066574201162	4.98294421498827	9	0	5	-1.30557551557973	7.46661948097207				0.0	0.0	0.0	55.5555555555556	4.98	0
GT	-8.3254024261625	9.14758036018056	-23.0258509299405	-4.20910849638463	-0.0928145666067497	4.02347936317113	8	1	1	-4.70050870507642	7.61076824020183	10	1	1	12.5	12.5	12.5	0.0	4.02	0
HB	-11.1184136404463	8.30667656071077	-27.9297797398274	-6.1190260036132	-1.11963836678011	3.87974927005299	103	0	24	-1.86119383868068	8.30667656071077				0.0	0.0	0.0	23.3009708737864	3.88	0
KNI	-7.4469613716653	9.50349211625791	-19.775021196026	-3.52563138307305	0.395698605519196	4.31702859411145	33	11	31	-10.3905797159914	5.30500365279261	9	7	0	33.3333333333333	21.2121212121212	0.0	60.6060606060606	4.32	0
KR	-7.48061875712773	8.8722148829194	-22.2346897700351	-3.31673449897928	0.847149759169167	5.01103401731762	45	2	22	-9.00776083430807	8.8722148829194	9	1	1	4.44444444444444	2.22222222222222	2.22222222222222	44.4444444444444	5.01	0
PAN	-6.14238858558786	6.8995307455014	-14.6684395156961	-2.65947734082063	0.823433903946592	4.30634514871382	25	0	14	-0.340432733474878	6.8995307455014				0.0	0.0	0.0	56.0	4.31	0
PRD	-17.3626185455709	10.0204941128275	-37.6211584375032	-10.7472324683003	-4.13184639102982	2.4835396862407	11	1	7	-14.8247398775281	7.81956592028043	10	0	0	9.09090909090909	0.0	0.0	54.5454545454545	2.48	0
SNA	-6.97950898941384	8.63400500092691	-17.52214173707	-3.1356741087732	0.708160771867442	4.55199565250808	11	0	1	-0.193392473443682	7.95939836061301				0.0	0.0	0.0	9.09090909090909	4.55	0
TIN	-6.22533768874312	7.70329168328457	-15.1368057721276	-2.73616484319385	0.753008002355426	4.2421808479047	11	1	1	-4.03939873035691	7.70329168328457	8	1	1	9.09090909090909	9.09090909090909	9.09090909090909	0.0	4.24	0
TLL	-8.01644972032418	8.66882333060546	-16.0144647801866	-4.34545966184117	-0.674469603358168	2.99652045512484	37	1	22	-7.7721019150145	8.66882333060546	9	1	0	2.7027027027027	2.7027027027027	0.0	56.7567567567568	3.0	0
TTK	-7.7382114204591	9.40553103198466	-20.7232658369465	-3.55780043391283	0.622610552633446	4.80302153917972	8	0	1	4.53276571440456	9.40553103198466				0.0	0.0	0.0	12.5	4.8	0
TWI	-10.9591736567363	8.53264036769235	-19.2935598419896	-6.30170543712114	-1.64423721750593	3.01323100210928	15	0	5	-4.12365402637716	8.53264036769235				0.0	0.0	0.0	33.3333333333333	3.01	0
ZEN	-7.79911529395277	8.267518393527	-21.4958097008323	-3.70619791003461	0.386719473883547	4.4796368578017	12	0	5	2.05531422107987	7.47499695888232				0.0	0.0	0.0	41.6666666666667	4.48	0
