factor id	average score	best score	worst score	avg+sigma	avg+2sigma	avg+3sigma	sequence count	sequences w/o score > average+sigma	sequences w/o scores > average+3sigma	worst site in the set	best site in the set	flank length	sites appearing on <flank length>	sites apperaring on 2bp flanks	% w/o sites	% sites in flanks	% sites in 2bp flanks	% weak sites	threshold	weak words in the 'ready' motif
ABD_A	-7.34279535347748	6.61581224705276	-23.332428596029	-3.14733833506466	1.04811868334816	5.24357570176099	41	1	29	-3.63147567182508	6.61581224705276	8	1	1	2.4390243902439	2.4390243902439	2.4390243902439	68.2926829268293	5.24	0
ANTP	-9.31122905774356	8.39540684862205	-21.3423157997938	-5.08214503876454	-0.853061019785526	3.37602299919349	12	0	2	-1.77701811728837	8.39540684862205				0.0	0.0	0.0	16.6666666666667	3.38	0
AP	-5.9871819084683	6.46759147024762	-14.6077983786503	-2.74001563648983	0.507150635488633	3.7543169074671	14	3	10	-6.8761202089559	6.46759147024762	8	3	3	21.4285714285714	21.4285714285714	21.4285714285714	50.0	3.75	0
BCD	-8.99189097091113	7.63794395425373	-22.063917616833	-4.43612003346687	0.119650903977401	4.67542184142167	48	2	19	-10.7301799305401	7.37346813130776	8	2	2	4.16666666666667	4.16666666666667	4.16666666666667	35.4166666666667	4.68	0
BRK	-8.37760557244292	11.6267252923289	-22.4802261666725	-4.01791893239534	0.341767707652245	4.70145434769983	10	0	0	6.59232066551314	10.5942302293618				0.0	0.0	0.0	0.0	4.7	0
BR_Z1	-8.37750037875348	7.85182199053854	-23.8507139215614	-4.06187167384324	0.253757031066995	4.56938573597723	17	2	10	-7.12731795327798	7.51495102686276	11	2	1	11.7647058823529	11.7647058823529	5.88235294117647	47.0588235294118	4.57	0
BR_Z2	-7.06734597831549	7.52788760526268	-20.2921203699919	-3.166335600928	0.734674776459482	4.63568515384697	21	0	10	0.175272268190635	6.13123433936992				0.0	0.0	0.0	47.6190476190476	4.64	0
BR_Z3	-8.7264921495455	8.07011992003547	-26.833406879251	-4.2662946021987	0.193902945148103	4.6541004924949	16	0	5	-2.88380387119828	7.8276166225744				0.0	0.0	0.0	31.25	4.65	0
BR_Z4	-8.81365210769562	9.04121372987285	-22.6707437893873	-4.74056922264704	-0.667486337598456	3.40559654745013	8	1	3	-5.76967537688327	7.8304215472742	11	1	1	12.5	12.5	12.5	25.0	3.41	0
BYN	-8.92275915745818	10.6628727084795	-27.6310211159286	-4.46751228651053	-0.0122654155628847	4.44298145538476	9	0	0	5.39800880300466	10.3822452353646				0.0	0.0	0.0	0.0	4.44	0
