factor id	average score	best score	worst score	avg+sigma	avg+2sigma	avg+3sigma	sequence count	sequences w/o score > average+sigma	sequences w/o scores > average+3sigma	worst site in the set	best site in the set	flank length	sites appearing on <flank length>	sites apperaring on 2bp flanks	% w/o sites	% sites in flanks	% sites in 2bp flanks	% weak sites	threshold	weak words in the 'ready' motif
ABD_A	-8.82031631610053	6.85248949814859	-22.4229444566639	-4.10576747174814	0.608781372604241	5.32333021695663	41	3	33	-10.3825960598368	6.85248949814859	7	0	0	7.31707317073171	0.0	0.0	73.1707317073171	5.32	9
ANTP	-9.04815481955786	8.03005321663861	-18.6351173884315	-4.95194673855311	-0.855738657548354	3.2404694234564	12	0	4	-3.04476479424057	6.54744730623581				0.0	0.0	0.0	33.3333333333333	3.24	1
BCD	-9.58695556617149	6.92376827268653	-22.5594006682214	-4.80369379794234	-0.020432029713195	4.76282973851595	48	1	15	-5.87888550030094	6.92376827268653	7	1	1	2.08333333333333	2.08333333333333	2.08333333333333	29.1666666666667	4.76	5
CAD	-5.57735078481223	7.06589761734514	-14.0044515805868	-2.43981840602085	0.697713972770527	3.83524635156191	13	2	9	-3.23544303139474	4.77262165299557	8	2	0	15.3846153846154	15.3846153846154	0.0	53.8461538461538	3.84	9
DFD	-9.88410203568815	7.97794392652084	-18.4723750126005	-5.64661487275999	-1.40912770983182	2.82835945309635	16	0	5	2.16551903243466	7.97794392652084				0.0	0.0	0.0	31.25	2.83	0
DL	-12.4209769400153	13.1701179299012	-29.3306298284592	-7.25296947832909	-2.08496201664289	3.08304544504331	38	0	15	-5.81604369523779	11.4993036302284				0.0	0.0	0.0	39.4736842105263	3.08	3
EN	-15.0366642857136	8.43526620622967	-26.6795872011913	-9.34003229659973	-3.64340030748581	2.0532316816281	56	5	27	-17.7457667446543	8.43526620622967	8	4	3	8.92857142857143	7.14285714285714	5.35714285714286	39.2857142857143	2.05	0
EVE	-8.51360321724199	7.21513417031016	-17.8106122137222	-4.49808799956999	-0.482572781897998	3.532942435774	20	1	7	-6.74076858715927	5.46678163176079	7	1	0	5.0	5.0	0.0	30.0	3.53	1
FTZ	-8.47924246009397	8.34669722563415	-25.0882044749731	-4.03036993720571	0.418502585682546	4.86737510857081	66	7	55	-7.50478414587271	7.69158228098997	9	6	5	10.6060606060606	9.09090909090909	7.57575757575758	72.7272727272727	4.87	6
GT	-8.79330728426743	12.0531803117044	-23.408598381715	-4.69084349517146	-0.588379706075482	3.51408408302049	8	1	6	-6.58679511647731	7.40252438167878	13	0	0	12.5	0.0	0.0	62.5	3.51	3
HB	-13.4398558467581	11.6105467111719	-36.5353641674132	-7.7815865736031	-2.12331730044812	3.53495197270686	103	2	62	-11.0330163706565	10.3377475075366	12	2	2	1.94174757281553	1.94174757281553	1.94174757281553	58.252427184466	3.53	5
KNI	-12.5173646463471	12.2818341231756	-32.0442484788789	-7.14529018207707	-1.77321571780702	3.59885874646302	33	8	28	-15.0988744521139	8.72473774752415	12	7	6	24.2424242424242	21.2121212121212	18.1818181818182	60.6060606060606	3.6	2
KR	-12.0045851744074	11.0139881727153	-28.2732314308014	-6.66774856656615	-1.33091195872492	4.00592464911632	45	10	33	-12.6721180605004	9.84954257037524	11	8	6	22.2222222222222	17.7777777777778	13.3333333333333	51.1111111111111	4.01	3
PRD	-7.37652938610577	11.6789790206045	-20.8161684058857	-3.402886264374	0.570756857357772	4.54439997908955	11	2	8	-7.66989405784053	6.86504585056748	13	1	0	18.1818181818182	9.09090909090909	0.0	54.5454545454545	4.54	4
TLL	-16.3942077166565	13.8690801060564	-35.6484663756048	-10.5129054083779	-4.63160310009943	1.2496992081791	37	8	29	-20.6341691350448	9.69496401864795	15	8	6	21.6216216216216	21.6216216216216	16.2162162162162	56.7567567567568	1.25	0
TTK	-9.90197517306903	12.4451889274927	-22.7837436409456	-5.64929848311691	-1.39662179316478	2.85605489678735	8	0	5	-3.9716361152867	5.83072142859669				0.0	0.0	0.0	62.5	2.86	0
UBX	-16.5455513842551	7.76798361963311	-28.7761170492132	-10.4058535600326	-4.26615573580997	1.87354208841262	60	3	20	-18.9793139585272	7.76798361963311	7	2	1	5.0	3.33333333333333	1.66666666666667	28.3333333333333	1.87	0
